,text,day,date,time,tz,message_id,symbol,classification,followers,id,strategy,assets_traded,experience,holding_per,username
0,"['October', '2', 'weeks', 'straight', 'down', '2', 'weeks', 'straight', 'up', '$SPY']",T,2014-10-28,19:38:37,Z,28527952,SPY,[u'suggested'],529,53387,Technical,[u'Futures'],Professional,Day Trader,TopstepTrader
1,"['filled', 'on', 'the', '$PNRA', 'trade']",T,2014-10-28,19:37:03,Z,28527822,PNRA,"[u'suggested', u'official']",29465,12134,Technical,"[u'Equities', u'Options', u'Forex', u'Futures', u'Private Companies']",Intermediate,Swing Trader,1nvestor
2,"['Which', 'Type', 'of', 'Facebook', 'Will', 'We', 'Get', '$FB', '$GILD', '$IWC', '$IWM', '$WYNN']",T,2014-10-28,19:36:35,Z,28527785,GILD,[u'suggested'],22929,8482,Technical,[u'Equities'],Professional,Swing Trader,chessNwine
3,"['$TFF', 'Daily', 'S3Hit']",T,2014-10-28,19:35:51,Z,28527725,TF_F,[u'suggested'],455,92532,Technical,[u'Futures'],Professional,Day Trader,TradingFibz
4,"['$TWTR', 'CFO', 'Takes', 'Charge', 'as', 'CEO', 'Steps', 'Back', 'on', 'Call']",T,2014-10-28,19:35:40,Z,28527705,TWTR,"[u'suggested', u'official']",4332,10056,,[u'Options'],Professional,Position Trader,OphirGottlieb
5,"['Sold', 'to', 'open', '7-Nov', '$UNG', 'strike-20', 'amp', '20\xc2\xbd', 'calls']",T,2014-10-28,19:35:34,Z,28527700,UNG,[u'suggested'],15889,2314,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,bearcharts
6,"['$esi', 'hods', 'might', 'squeeze', 'to', '10', 'here']",T,2014-10-28,19:35:21,Z,28527676,ESI,[u'suggested'],19072,122643,Momentum,[u'Equities'],Professional,Day Trader,kunal00
7,"['not', 'getting', 'sense', 'this', 'is', 'the', 'inverted', 'reverse', 'broadening', 'top', 'formation', 'some', 'were', 'hoping', 'for', '$SPY', 'no', 'shorts', 'currently', 'on', 'the', 'books']",T,2014-10-28,19:35:16,Z,28527669,SPY,"[u'suggested', u'official']",21230,74,Momentum,"[u'Equities', u'Options', u'Forex']",Professional,Swing Trader,sspencer_smb
8,"['Earnings', 'Preview', 'Facebook', 'And', 'Gilead', 'Sciences', 'On', 'Deck', '$FB', '$GILD', '$SPY']",T,2014-10-28,19:34:48,Z,28527623,GILD,"[u'suggested', u'official']",315,296805,,[],,,TalkMarkets
9,"['All', 'out', 'the', '$TSLA', 'short', '133', 'on', 'remainder', 'Trade', 'closed', 'TY', '@Shaq48Trader']",T,2014-10-28,19:34:16,Z,28527565,TSLA,[u'suggested'],14741,6375,Technical,[u'Equities'],Intermediate,Swing Trader,SunriseTrader
10,"['$CAT', 'to', '101', 'Solid', 'move', 'out', 'of', 'earnings', 'Very', 'nice']",T,2014-10-28,19:34:02,Z,28527530,CAT,[u'suggested'],29873,391,Technical,[u'Equities'],Professional,Swing Trader,jackdamn
11,"['$TUBE', 'with', 'a', 'PBBO', 'and', '10ema', 'just', 'below', 'Let', '39er', 'rip', 'now']",T,2014-10-28,19:33:13,Z,28527458,TUBE,[u'suggested'],1608,21210,Technical,"[u'Equities', u'Options', u'Futures', u'Bonds']",Professional,Swing Trader,Cousin_Vinny
12,"['Court', 'grants', 'summary', 'judgement', 'in', 'favour', 'of', 'Couponscom', '$COUP', 'vs', 'DSS']",T,2014-10-28,19:32:55,Z,28527421,COUP,"[u'suggested', u'official']",35945,223547,Global Macro,"[u'Equities', u'Options', u'Forex', u'Futures', u'Bonds']",Professional,Day Trader,FinancialJuice
13,"['WOW', 'Janet', 'must', 'be', 'reintroducing', 'some', 'QE', 'tomorrow', '$SPY']",T,2014-10-28,19:32:14,Z,28527344,SPY,[u'suggested'],3194,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
14,"['eyes', 'on', '$COUP', 'for', 'a', 'late', 'day', 'move', 'on', 'a', 'judgement']",T,2014-10-28,19:32:04,Z,28527332,COUP,"[u'suggested', u'official']",26481,86830,Fundamental,"[u'Equities', u'Options', u'Private Companies']",Professional,Position Trader,bbolan1
15,"['$NLNK', 'bounced', 'right', 'at', 'where', '3450', 'However', 'today', '39s', 'action', 'sucks', 'in', 'comparison', 'to', 'indices', '$STUDY', 'hammer', 'NOT', 'confirming']",T,2014-10-28,19:30:50,Z,28527210,STUDY,[u'suggested'],3194,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
16,"['$sonc', '52weekers']",T,2014-10-28,19:29:44,Z,28527115,SONC,[u'suggested'],24125,74841,Technical,[u'Equities'],Professional,Swing Trader,lumberjax
17,"['As', 'the', 'V', 'bottom', 'is', 'the', 'new', 'tight', 'flat', 'base', 'so', 'too', 'is', 'a', 'potbelly', 'the', 'new', '6', 'pack', 'abs', '$PBPB']",T,2014-10-28,19:28:36,Z,28526986,PBPB,[u'suggested'],17635,17668,Technical,[u'Equities'],Intermediate,Swing Trader,ToddinFL
18,"['$QQQ', '10000', 'tootshorn']",T,2014-10-28,19:27:57,Z,28526941,QQQ,[u'suggested'],3193,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
19,"['Tons', 'of', 'oil', 'deals', 'I', 'heard', 'lately', 'M', 'ampS', 'active', 'with', 'MLPs', 'too', '$XLE', 'getting', 'too', 'cheap']",T,2014-10-28,19:27:44,Z,28526920,XLE,[u'suggested'],3193,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
20,"['$IWM', '114', 'WOOT']",T,2014-10-28,19:26:49,Z,28526836,IWM,[u'suggested'],3193,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
21,"['Taking', 'my', 'S', 'ampP', '2000', 'hat', 'back', 'out', 'of', 'the', 'closet', 'Yes', '$SPX']",T,2014-10-28,19:26:21,Z,28526801,SPX,[u'suggested'],24770,186026,Technical,[u'Options'],Professional,Swing Trader,TraderRL23
22,"['Mercenary', 'Knowledge', 'Center', 'On', 'the', 'Virtues', 'of', 'Shifting', 'Gears', '$STUDY']",T,2014-10-28,19:25:03,Z,28526700,STUDY,"[u'suggested', u'official']",17953,22942,Technical,"[u'Equities', u'Options', u'Forex']",Professional,Swing Trader,MercenaryMike
23,"['@lumberjax', '@venkysrinivasan', '@andysingal', 'Still', 'looking', 'for', '100', '$QQQ']",T,2014-10-28,19:24:25,Z,28526641,QQQ,[u'suggested'],3194,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
24,"['ARGHHHHHH', '$APA', 'spiking', 'now', 'smacks', 'self']",T,2014-10-28,19:23:52,Z,28526586,APA,[u'suggested'],3194,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
25,"['$BBRY', 'looking', 'good', 'for', 'taking', 'out', 'previous', 'high', 'trading', 'in', 'the', 'green', 'all', 'year']",T,2014-10-28,19:23:49,Z,28526581,BBRY,[u'suggested'],1923,139969,Technical,[],,Swing Trader,M5amhan
26,"['quot', '@FuturesMagazine', 'Crude', 'It', '39s', 'not', 'often', 'you', 'get', 'two', 'set-ups', 'like', 'this', '$CLF', 'quot']",T,2014-10-28,19:23:41,Z,28526571,CL_F,"[u'suggested', u'official']",1329,18652,Technical,"[u'Equities', u'Options']",Professional,Swing Trader,a_jackson
27,"['quot', '@FinancialJuice', 'Woodside', 'Petroleum', 'WPL', 'AT', 'eyeing', 'Apache', '39s', '$APA', 'Wheatstone', 'stake', 'according', 'to', 'AFR', 'quot', 'are', 'you', 'serious', 'after', 'i', 'sold', 'it']",T,2014-10-28,19:23:23,Z,28526545,APA,[u'suggested'],3193,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
28,"['Woodside', 'Petroleum', 'WPL', 'AT', 'eyeing', 'Apache', '39s', '$APA', 'Wheatstone', 'stake', 'according', 'to', 'AFR']",T,2014-10-28,19:22:49,Z,28526500,APA,"[u'suggested', u'official']",35944,223547,Global Macro,"[u'Equities', u'Options', u'Forex', u'Futures', u'Bonds']",Professional,Day Trader,FinancialJuice
