,text,date,time,tz,message_id,symbol,classification,followers,id,strategy,assets_traded,experience,holding_per,username
0,"['$GCF', 'Daily', 'chart', 'Target', 'hit', 'at', '12194']",2014-10-29,13:03:51,EST,28579413,GC_F,[u'suggested'],23058,32596,Technical,[u'Futures'],Professional,Day Trader,TheFibDoctor
1,"['FOMC', 'Statement', '102914', '$STUDY']",2014-10-29,13:02:25,EST,28579280,STUDY,"[u'suggested', u'official']",2256,32071,Technical,"[u'Equities', u'Futures']",Professional,Swing Trader,SharePlanner
2,"['The', 'NASDAQ', 'is', 'trying', 'to', 'log', 'its', '10th', 'straight', 'session', 'of', 'higher', 'highs', 'and', 'higher', 'lows', '$COMPQ', '$QQQ']",2014-10-29,13:02:18,EST,28579270,COMPQ,[u'suggested'],21285,22625,Momentum,[u'Equities'],Professional,Position Trader,DarvasTrader
3,"['$BAC', 'loving', 'it']",2014-10-29,13:02:18,EST,28579269,BAC,[u'suggested'],3218,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
4,"['QE', 'ENDS', 'FED', 'REPEATS', 'RATES', 'TO', 'STAY', 'LOW', 'FOR', 'CONSIDERABLE', 'TIME', '39', '$SPY', '$ESF', '$TLT']",2014-10-29,13:01:33,EST,28579204,ES_F,[u'suggested'],530,53387,Technical,[u'Futures'],Professional,Day Trader,TopstepTrader
5,"['Especially', 'when', 'bullish', 'sentiment', 'is', 'at', 'the', 'highs', 'seen', 'in', 'Jan', 'and', 'Sept', '$spy', '$dia', '$qqq', '$tbt', '$tlt']",2014-10-29,13:01:29,EST,28579199,DIA,"[u'suggested', u'official']",1239,237666,Value,"[u'Equities', u'Options', u'Forex', u'Bonds']",Professional,Position Trader,SeanDavid
6,"['$FED', '1029', 'FOMC', 'Statement', 'gt']",2014-10-29,13:01:30,EST,28579201,FED,"[u'suggested', u'official']",2651,1040,Fundamental,"[u'Equities', u'Options', u'Futures', u'Bonds', u'Private Companies']",Professional,Position Trader,BobBrinker
7,"['Fed', 'says', 'sees', '39solid', 'job', 'gains', '39', 'with', 'lower', 'unemployment', '$FED', '$MACRO']",2014-10-29,13:01:24,EST,28579195,FED,"[u'suggested', u'official']",36037,223547,Global Macro,"[u'Equities', u'Options', u'Forex', u'Futures', u'Bonds']",Professional,Day Trader,FinancialJuice
8,"['Bye', 'Bye', 'QE', '$FED', 'at', 'least', 'for', 'now']",2014-10-29,13:01:23,EST,28579193,FED,[u'suggested'],16585,76647,Technical,[u'Equities'],Professional,Day Trader,TradingPlays
9,"['FOMC', 'says', 'ends', '3rd', 'round', 'of', 'quantitative', 'easing', 'as', 'planned', '$FED', '$MACRO']",2014-10-29,13:01:13,EST,28579173,FED,"[u'suggested', u'official']",36037,223547,Global Macro,"[u'Equities', u'Options', u'Forex', u'Futures', u'Bonds']",Professional,Day Trader,FinancialJuice
10,"['$GPRO', 'Revenue', 'vs', 'Gross', 'Margin', 'Trend']",2014-10-29,13:01:13,EST,28579174,GPRO,[u'suggested'],1248,394798,,[],,,CapitalMarketLabs
11,"['quot', '@StreetInsider', '$FED', 'ends', 'third', 'round', 'of', 'QE', 'as', 'planned', 'Sees', '39solid', 'job', 'gains', '39', 'with', 'lower', 'unemployment', 'quot']",2014-10-29,13:01:06,EST,28579161,FED,[u'suggested'],3218,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
12,"['All', 'QE', 'has', 'concluded', '$FED', 'FOMC', '$ESF', 'now', '950']",2014-10-29,13:00:59,EST,28579151,ES_F,[u'suggested'],3218,174360,Technical,"[u'Equities', u'Options', u'Futures']",Intermediate,Day Trader,ep_capital
13,"['$TLT', 'LOD', 'on', 'that', '$GLD', 'too']",2014-10-29,13:00:57,EST,28579149,GLD,[u'suggested'],3218,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
14,"['$Uvxy', 'nice', 'pop']",2014-10-29,13:00:46,EST,28579127,UVXY,[u'suggested'],24165,74841,Technical,[u'Equities'],Professional,Swing Trader,lumberjax
15,"['$Fed', 'ends', 'third', 'round', 'of', 'QE', 'as', 'planned', 'Sees', '39solid', 'job', 'gains', '39', 'with', 'lower', 'unemployment']",2014-10-29,13:00:40,EST,28579122,FED,"[u'suggested', u'official']",48397,8203,Fundamental,[u'Equities'],Professional,,Street_Insider
16,"['$UUP', 'spiking']",2014-10-29,13:00:39,EST,28579119,UUP,[u'suggested'],3218,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
17,"['FOMC', 'keeps', 'considerable', 'time', 'phrase', 'in', 'statement', '$FED', '$MACRO']",2014-10-29,13:00:31,EST,28579107,FED,"[u'suggested', u'official']",36037,223547,Global Macro,"[u'Equities', u'Options', u'Forex', u'Futures', u'Bonds']",Professional,Day Trader,FinancialJuice
18,"['1', 'min', '$FED']",2014-10-29,12:59:50,EST,28579056,FED,[u'suggested'],3218,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
19,"['I', 'need', 'to', 'see', 'this', 'trend', 'change', '$spy', '$dia', '$qqq', '$tbt', '$tlt', '$IWM']",2014-10-29,12:59:38,EST,28579045,DIA,"[u'suggested', u'official']",1239,237666,Value,"[u'Equities', u'Options', u'Forex', u'Bonds']",Professional,Position Trader,SeanDavid
20,"['Recent', 'Stock', 'Purchase', 'II', 'October', '2014', '$UL']",2014-10-29,12:59:31,EST,28579033,UL,"[u'suggested', u'official']",344,296805,,[],,,TalkMarkets
21,"['Heads', 'up', 'keep', 'your', 'risk', 'managed', '$ESF', '$SPY', '$SPX', 'FOMC', 'on', 'deck']",2014-10-29,12:59:06,EST,28578990,ES_F,[u'suggested'],7095,13803,,[u'Futures'],Professional,,TraderSmarts
22,"['Heads', 'Up', '$FED', 'on', 'deck']",2014-10-29,12:57:39,EST,28578903,FED,[u'suggested'],16585,76647,Technical,[u'Equities'],Professional,Day Trader,TradingPlays
23,"['quotApple', 'is', 'in', 'talks', 'to', 'sell', 'the', 'iPhone', 'in', 'Iran', 'if', 'sanctions', 'ease', 'quot', 'lt', 'looks', 'like', 'the', 'low', 'hanging', '$AAPL', 's', 'have', 'been', 'picked']",2014-10-29,12:57:16,EST,28578874,AAPL,"[u'suggested', u'official']",19735,10381,Value,"[u'Equities', u'Options']",Professional,Position Trader,CapitalObserver
24,"['$GPRO', 'Revenue', 'Trend']",2014-10-29,12:57:03,EST,28578862,GPRO,[u'suggested'],1248,394798,,[],,,CapitalMarketLabs
25,"['Sand', 'players', 'will', 'look', 'at', '$SLCA', 'tonight', 'for', 'earnings', '$HCLP', '$EMES', '$FMSA', 'lt', 'I', 'am', 'long', 'last', 'one', 'SLCA', 'looking', 'for', '$231', 'M', 'on', 'top', '$069', 'EPS']",2014-10-29,12:56:55,EST,28578853,SLCA,"[u'suggested', u'official']",26532,86830,Fundamental,"[u'Equities', u'Options', u'Private Companies']",Professional,Position Trader,bbolan1
26,"['$mar', 'outstanding', 'all', 'timers', 'today']",2014-10-29,12:56:55,EST,28578851,MAR,[u'suggested'],24165,74841,Technical,[u'Equities'],Professional,Swing Trader,lumberjax
27,"['$GPS', 'nice', 'bottom', 'setup']",2014-10-29,12:56:31,EST,28578834,GPS,[u'suggested'],29701,7176,Technical,"[u'Equities', u'Options']",Professional,Day Trader,stt2318
28,"['Greenspan', 'Price', 'of', 'Gold', 'Will', 'Rise', '$GLD', 'via', '@traderoffortune']",2014-10-29,12:56:16,EST,28578812,GLD,[u'suggested'],20534,10140,Fundamental,[u'Equities'],Professional,Long Term Investor,jessefelder
29,"['this', 'is', 'how', 'i', 'am', 'tracking', '$SPY', 'uptrend', 'from', 'past', 'few', 'days']",2014-10-29,12:55:09,EST,28578746,SPY,"[u'suggested', u'official']",21246,74,Momentum,"[u'Equities', u'Options', u'Forex']",Professional,Swing Trader,sspencer_smb
30,"['quot', '@andrewnyquist', 'My', 'latest', 'for', '@YahooFinance', 'quot3', 'Things', 'I', '39m', 'Watching', 'On', 'Fed', 'Day', 'quot', '$SPY', '$IWM', '$UUP', '$DXF', '$STUDY', 'quot']",2014-10-29,12:55:05,EST,28578743,DX_F,[u'suggested'],23058,32596,Technical,[u'Futures'],Professional,Day Trader,TheFibDoctor
31,"['BlackBerry', 'readies', 'the', 'Classic', 'which', 'will', 'warm', 'Kim', 'Kardashian', '39s', 'heart', '$BBRY']",2014-10-29,12:54:47,EST,28578723,BBRY,"[u'suggested', u'official']",13104,56133,,[],,,michaelbabad
32,"['My', 'latest', 'for', '@YahooFinance', 'quot3', 'Things', 'I', '39m', 'Watching', 'On', 'Fed', 'Day', 'quot', '$SPY', '$IWM', '$UUP', '$DXF', '$STUDY']",2014-10-29,12:54:28,EST,28578690,DX_F,"[u'suggested', u'official']",9221,116133,Technical,[u'Equities'],Professional,Swing Trader,andrewnyquist
33,"['$TSLA', 'Revenue', 'Trend']",2014-10-29,12:54:09,EST,28578671,TSLA,[u'suggested'],1248,394798,,[],,,CapitalMarketLabs
34,"['Nov', '17-19', '$CME', 'hosting', 'the', '7th', 'Annual', 'Global', 'Financial', 'Leadership', 'Conference', 'GFLC14']",2014-10-29,12:52:24,EST,28578545,CME,"[u'ir', u'suggested', u'official']",22821,2901,,[u'Futures'],Novice,,CMEGroup
35,"['Charter', 'Communications', 'sets', 'talk', 'on', '$15', 'B', '2-part', 'highyield', 'bond', 'deal', 'backs', 'Time', 'Warner', 'merger', '$CHTR', '$TWC', '$CMCSA']",2014-10-29,12:51:27,EST,28578479,CHTR,"[u'suggested', u'official']",5490,81029,,[],,,lcdnews
36,"['Google', 'Quells', 'Concerns', 'With', 'New', 'OS', '$GOOG', '$GOOGL']",2014-10-29,12:50:12,EST,28578385,GOOG,"[u'suggested', u'official']",343,296805,,[],,,TalkMarkets
37,"['FOMC', 'Meeting', '$FED', '$MACRO']",2014-10-29,12:48:49,EST,28578294,FED,"[u'suggested', u'official']",36035,223547,Global Macro,"[u'Equities', u'Options', u'Forex', u'Futures', u'Bonds']",Professional,Day Trader,FinancialJuice
38,"['$vxxso', 'is', 'anyone', 'else', 'watching', 'the', 'vix', 'sell-off', 'right', 'before', 'the', 'announcement']",2014-10-29,12:48:43,EST,28578281,VXX,[u'suggested'],24733,1397,Technical,"[u'Equities', u'Options', u'Futures']",Professional,Day Trader,christopherbrecher
