,text,date,time,tz,message_id,symbol,classification,followers,id,strategy,assets_traded,experience,holding_per,username
0,"['quot', '@WallStJesus', '$DKS', 'some', 'more', 'buying', 'here', 'sweep', '2804', 'Dec14', '525', 'calls', '$025', 'quot']",2014-11-26,14:49:58,EST,29670088,DKS,[u'suggested'],3847,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
1,"['Happy', 'Thanksgiving', 'I', 'am', 'very', 'appreciative', 'of', 'all', 'the', 'feedback', 'from', 'traders', 'on', 'ideas', 'shared', '$GPRO']",2014-11-26,14:49:48,EST,29670078,GPRO,"[u'suggested', u'official']",21875,74,Momentum,"[u'Equities', u'Options', u'Forex']",Professional,Swing Trader,sspencer_smb
2,"['$W', 'Cyber', 'Monday', 'looks', 'to', 'be', 'huge', 'this', 'stock', 'should', 'get', 'some', 'love']",2014-11-26,14:49:37,EST,29670063,W,"[u'suggested', u'official']",28017,86830,Fundamental,"[u'Equities', u'Options', u'Private Companies']",Professional,Position Trader,bbolan1
3,"['What', 'if', 'I', 'Could', 'Buy', 'Stock', 'in', 'My', 'Own', 'Company', 'amp', 'Try', 'to', 'Make', 'it', 'Go', 'Up', 'Like', 'These', 'Companies', 'via', '@MarketWatch', '$STUDY']",2014-11-26,14:49:37,EST,29670062,STUDY,"[u'suggested', u'official']",6168,10056,,[u'Options'],Professional,Position Trader,OphirGottlieb
4,"['$BABY', 'long', 'setup']",2014-11-26,14:49:03,EST,29670025,BABY,[u'suggested'],30859,7176,Technical,"[u'Equities', u'Options']",Professional,Day Trader,stt2318
5,"['Oil', 'moving', 'lower', 'or', 'at', 'least', 'that', 'is', 'what', 'the', 'frackers', 'are', 'telling', 'me', '$FMSA', '$SLCA', '$HCLP', '$EMES']",2014-11-26,14:48:51,EST,29670012,SLCA,"[u'suggested', u'official']",28017,86830,Fundamental,"[u'Equities', u'Options', u'Private Companies']",Professional,Position Trader,bbolan1
6,"['Investors', 'unfazed', 'by', '$UBER', 'missteps', '$40', 'B', 'Valuation', 'Excellent', 'concise', 'piece']",2014-11-26,14:47:30,EST,29669932,UBER,"[u'suggested', u'official']",6168,10056,,[u'Options'],Professional,Position Trader,OphirGottlieb
7,"['$GCF', 'does', 'not', 'look', 'very', 'sturdy', 'under', '120780', 'res', 'LT', 'downside', 'target', 'still', '97640', 'but', 'takes', 'time']",2014-11-26,14:46:57,EST,29669905,GC_F,[u'suggested'],8396,119747,Technical,[u'Futures'],Professional,Day Trader,AheadoftheNews
8,"['Interesting', 'divergence', 'here', 'between', 'stock', 'and', 'bond', 'markets', '5-year', 'yield', '$SPY', '$IEI']",2014-11-26,14:46:31,EST,29669865,IEI,[u'suggested'],22650,10140,Fundamental,[u'Equities'],Professional,Long Term Investor,jessefelder
9,"['Drone', 'business', 'too', 'small', 'to', 'make', 'diff', 'in', '$GPRO', 'bottom', 'line', 'but', 'matters', 'a', 'lot', 'in', 'terms', 'of', 'sentiment', 're', 'expanding', 'brand', 'to', 'other', 'products']",2014-11-26,14:45:24,EST,29669807,GPRO,[u'suggested'],18587,31117,Technical,"[u'Equities', u'Options', u'Futures']",Professional,Swing Trader,JFinDallas
10,"['$NQF', 'upside', 'target', 'risk', '433625', 'and', '438750', '$QQQ']",2014-11-26,14:44:24,EST,29669750,NQ_F,[u'suggested'],8396,119747,Technical,[u'Futures'],Professional,Day Trader,AheadoftheNews
